"LICH_SPPCD","YEARSTART","YEAREND","SPP_ACRONYM","GENUS","SPECIES","CN","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
3607,1993,,"Lepchl","Leptogium","chloromelum","688785000333","",2004-03-22,"999","",2005-06-07,"333"
3608,1993,,"Lepcor","Leptogium","corniculatum","688786000333","",2004-03-22,"999","",2005-06-07,"333"
3609,1993,,"Lepcrt","Leptogium","corticola","688787000333","",2004-03-22,"999","",2005-06-07,"333"
3610,1993,,"Lepcre","Leptogium","crenatellum","688788000333","",2004-03-22,"999","",2005-06-07,"333"
3611,1993,,"Lepcya","Leptogium","cyanescens","688789000333","",2004-03-22,"999","",2005-06-07,"333"
3612,1993,,"Lepdac","Leptogium","dactylinum","688790000333","",2004-03-22,"999","",2005-06-07,"333"
3613,1993,,"Lepden","Leptogium","denticulatum","688791000333","",2004-03-22,"999","",2005-06-07,"333"
3614,1993,,"Lepdig","Leptogium","digitatum","688792000333","",2004-03-22,"999","",2005-06-07,"333"
3615,1993,,"Lepflo","Leptogium","floridanum","688793000333","",2004-03-22,"999","",2005-06-07,"333"
3616,1993,,"Lepfur","Leptogium","pseudofurfuraceum","688810000333","",2004-03-22,"999","",2005-06-07,"333"
3617,1993,,"Lepfus","Leptogium","fusisporum","688794000333","",2004-03-22,"999","",2005-06-07,"333"
3618,1993,,"Lepgel","Leptogium","gelatinosum","688795000333","",2004-03-22,"999","",2005-06-07,"333"
3619,1993,,"Lephir","Leptogium","hirsutum","688796000333","",2004-03-22,"999","",2005-06-07,"333"
3620,1993,,"Lephyp","Leptogium","hypotrachynum","688797000333","",2004-03-22,"999","",2005-06-07,"333"
3621,1993,,"Lepinf","Leptogium","inflexum","688798000333","",2004-03-22,"999","",2005-06-07,"333"
3622,1993,,"Lepisi","Leptogium","isidiosellum","688800000333","",2004-03-22,"999","",2005-06-07,"333"
3623,1993,,"Lepjun","Leptogium","juniperinum","688801000333","",2004-03-22,"999","",2005-06-07,"333"
3624,1993,,"Leplac","Leptogium","laceroides","688802000333","",2004-03-22,"999","",2005-06-07,"333"
3625,1993,,"Leplic","Leptogium","lichenoides","688803000333","",2004-03-22,"999","",,""
3626,1993,,"Lepmar","Leptogium","marginellum","688804000333","",2004-03-22,"999","",2005-06-07,"333"
3627,1993,,"Lepmic","Leptogium","microstictum","688805000333","",2004-03-22,"999","",2005-06-07,"333"
3628,1993,,"Lepmil","Leptogium","milligranum","688806000333","",2004-03-22,"999","",2005-06-07,"333"
3629,1993,,"Lepphy","Leptogium","phyllocarpum","688808000333","",2004-03-22,"999","",2005-06-07,"333"
3630,1993,,"Leprug","Leptogium","rugosum","688811000333","",2004-03-22,"999","",2005-06-07,"333"
3631,1993,,"Lepsat","Leptogium","saturninum","688812000333","",2004-03-22,"999","",2005-06-07,"333"
3632,1993,,"Lepses","Leptogium","sessile","688813000333","",2004-03-22,"999","",2005-06-07,"333"
3633,1993,,"Lepsti","Leptogium","stipitatum","688814000333","",2004-03-22,"999","",2005-06-07,"333"
3634,1993,,"Lepten","Leptogium","tenuissimum","688817000333","",2004-03-22,"999","",2005-06-07,"333"
3635,1993,,"Lepter","Leptogium","teretiusculum","688818000333","",2004-03-22,"999","",2005-06-07,"333"
3636,1993,,"Leppol","Leptogium","polycarpum","688809000333","",2004-03-22,"999","",2005-06-07,"333"
3637,1997,,"Lepsub","Leptogium","subtile","688815000333","",2004-03-22,"999","",2005-06-07,"333"
3638,1998,,"Lepcel","Leptogium","cellulosum","688784000333","",2004-03-22,"999","",2005-06-07,"333"
3639,1998,,"Leptac","Leptogium","tacomae","688816000333","",2004-03-22,"999","",2005-06-07,"333"
3640,2001,,"Lepocc","Leptogium","occultatum","688807000333","",2004-03-22,"999","",2005-06-07,"333"
3641,2003,,"Lepint","Leptogium","intermedium","688799000333","",2004-04-20,"999","",,""
3642,2006,,"Lepsch","Leptogium","schraderi","690012000333","",2007-05-10,"333","",,""
3643,2006,,"Lepsrd","Leptogium","subaridum","690013000333","",2007-05-10,"333","",,""
3644,2006,,"Lepbre","Leptogium","brebissonii","690011000333","",2007-05-10,"333","",,""
3700,1993,,"Let","Letharia","","688822000333","",2004-03-22,"999","",2005-06-07,"333"
3701,1993,,"Letcol","Letharia","columbiana","688820000333","",2004-03-22,"999","",2005-06-07,"333"
3702,1993,,"Letvul","Letharia","vulpina","688821000333","",2004-03-22,"999","",2005-06-07,"333"
3800,1993,,"Lic","Lichinodium","","688824000333","",2004-03-22,"999","",2005-06-07,"333"
3801,1993,,"Liccan","Lichinodium","canadense","688823000333","",2004-03-22,"999","",2005-06-07,"333"
3900,1993,,"Lob","Lobaria","","688835000333","",2004-03-22,"999","",2005-06-07,"333"
3901,1993,,"Lobhal","Lobaria","hallii","688825000333","",2004-03-22,"999","",2005-06-07,"333"
3902,1993,,"Lobjap","Lobaria","japonica","688826000333","",2004-03-22,"999","",2005-06-07,"333"
3903,1993,,"Loblin","Lobaria","linita","688827000333","",2004-03-22,"999","",2005-06-07,"333"
3904,1993,,"Lobore","Lobaria","oregana","688828000333","",2004-03-22,"999","",2005-06-07,"333"
3905,1993,,"Lobpul","Lobaria","pulmonaria","688829000333","",2004-03-22,"999","",2005-06-07,"333"
3906,1993,,"Lobque","Lobaria","quercizans","688830000333","",2004-03-22,"999","",2005-06-07,"333"
3907,1993,,"Lobrav","Lobaria","ravenelii","688831000333","",2004-03-22,"999","",2005-06-07,"333"
3908,1993,,"Lobret","Lobaria","retigera","688832000333","",2004-03-22,"999","",2005-06-07,"333"
3909,1993,,"Lobscr","Lobaria","scrobiculata","688833000333","",2004-03-22,"999","",2005-06-07,"333"
3910,1993,,"Lobten","Lobaria","tenuis","688834000333","",2004-03-22,"999","",2005-06-07,"333"
4000,1993,,"Mel","Melanelia","","688858000333","",2004-03-22,"999","",2005-06-07,"333"
4001,1993,2005,"Melalb","Melanelia","albertana","688836000333","",2004-03-22,"999","",2005-06-07,"333"
4001,2005,,"Melalb","Melanelixia","albertana","688859000333","",2006-03-31,"333","",,""
4002,1993,2005,"Melele","Melanelia","elegantula","688838000333","",2004-03-22,"999","",2005-06-07,"333"
4002,2005,,"Melele","Melanohalea","elegantula","688865000333","",2006-03-31,"333","",,""
4003,1993,2005,"Melexa","Melanelia","exasperata","688839000333","",2004-03-22,"999","",2005-06-07,"333"
4003,2005,,"Melexa","Melanohalea","exasperata","688866000333","",2006-03-31,"333","",,""
4004,1993,2005,"Melexl","Melanelia","exasperatula","688840000333","",2004-03-22,"999","",2005-06-07,"333"
4004,2005,,"Melexl","Melanohalea","exasperatula","688867000333","",2006-03-31,"333","",,""
4005,1993,2005,"Melful","Melanelia","fuliginosa","688841000333","",2004-03-22,"999","",2005-06-07,"333"
4005,2005,,"Melful","Melanelixia","fuliginosa","688860000333","",2006-03-31,"333","",,""
4006,1993,2005,"Melgla","Melanelia","glabra","688842000333","",2004-03-22,"999","",2005-06-07,"333"
4006,2005,,"Melgla","Melanelixia","glabra","688861000333","",2006-03-31,"333","",,""
4007,1993,2005,"Melgld","Melanelia","glabroides","688843000333","",2004-03-22,"999","",2005-06-07,"333"
4007,2005,,"Melgld","Melanelixia","glabroides","688862000333","",2006-03-31,"333","",,""
4008,1993,2005,"Melhal","Melanelia","halei","688844000333","",2004-03-22,"999","",2005-06-07,"333"
4008,2005,,"Melhal","Melanohalea","halei","688868000333","",2006-03-31,"333","",,""
4009,1993,2005,"Melinf","Melanelia","infumata","688845000333","",2004-03-22,"999","",2005-06-07,"333"
4009,2005,,"Melinf","Melanohalea","infumata","688869000333","",2006-03-31,"333","",,""
4010,1993,2005,"Melmul","Melanelia","multispora","688846000333","",2004-03-22,"999","",,""
4010,2005,,"Melmul","Melanohalea","multispora","688870000333","",2006-03-31,"333","",,""
4011,1993,2005,"Meloli","Melanelia","olivacea","688847000333","",2004-03-22,"999","",2005-06-07,"333"
4011,2005,,"Meloli","Melanohalea","olivacea","688871000333","",2006-03-31,"333","",,""
4012,1993,2005,"Melold","Melanelia","olivaceoides","688848000333","",2004-03-22,"999","",2005-06-07,"333"
4012,2005,,"Melold","Melanohalea","olivaceoides","688872000333","",2006-03-31,"333","",,""
4013,1993,2005,"Melsep","Melanelia","septentrionalis","688850000333","",2004-03-22,"999","",2005-06-07,"333"
4013,2005,,"Melsep","Melanohalea","septentrionalis","688873000333","",2006-03-31,"333","",,""
4014,1993,2005,"Melsar","Melanelia","subargentifera","688852000333","",2004-03-22,"999","",2005-06-07,"333"
4014,2005,,"Melsar","Melanelixia","subargentifera","688863000333","",2006-03-31,"333","",,""
4015,1993,2005,"Melsub","Melanelia","subaurifera","688853000333","",2004-03-22,"999","",2005-06-07,"333"
4015,2005,,"Melsub","Melanelixia","subaurifera","688864000333","",2006-03-31,"333","",,""
4016,1993,2005,"Melsel","Melanelia","subelegantula","688854000333","",2004-03-22,"999","",2005-06-07,"333"
4016,2005,,"Melsel","Melanohalea","subelegantula","688874000333","",2006-03-31,"333","",,""
4017,1993,2005,"Melsol","Melanelia","subolivacea","688855000333","",2004-03-22,"999","",,""
4017,2005,,"Melsol","Melanohalea","subolivacea","688875000333","",2006-03-31,"333","",,""
4018,1993,2005,"Meltra","Melanelia","trabeculata","688857000333","",2004-03-22,"999","",2005-06-07,"333"
